Date,Ticker,Quantity,Entry Price ($),Exit Price ($),Commission ($),Profit/Loss ($)
2023-09-02,XLV,145,442.46,435.98,5.0,-944.6
2023-05-13,FB,423,325.37,333.04,5.0,3239.41
2023-09-29,GOOGL,364,69.32,67.15,5.0,-794.88
2023-03-14,XLI,250,207.76,202.21,5.0,-1392.5
2023-03-09,XLE,415,98.21,102.92,5.0,1949.65
2023-01-30,SPY,353,107.05,100.58,5.0,-2288.91
2023-01-15,XLE,416,143.27,151.12,5.0,3260.6
2023-07-02,TSM,197,129.88,136.84,5.0,1366.12
2023-01-25,QQQ,418,240.79,233.22,5.0,-3169.26
2023-08-30,FB,378,160.3,167.51,5.0,2720.38
2023-12-18,XLU,341,78.54,75.35,5.0,-1092.79
2023-02-05,AMD,127,143.51,144.23,5.0,86.44
2023-06-27,IWM,26,69.14,77.8,5.0,220.16
2023-07-10,XLE,476,72.96,80.68,5.0,3669.72
2023-01-15,GOOGL,98,471.02,471.05,5.0,-2.06
2023-12-14,QQQ,421,492.11,498.75,5.0,2790.44
2023-09-05,XLV,67,42.79,50.96,5.0,542.39
2023-03-20,XLE,347,49.16,40.9,5.0,-2871.22
2023-01-02,XLE,175,233.56,228.49,5.0,-892.25
2023-10-27,DIA,455,189.63,188.32,5.0,-601.05
2023-11-18,BABA,251,52.94,44.62,5.0,-2093.32
2023-08-24,AMZN,87,73.98,77.07,5.0,263.83
2023-09-24,GOOGL,263,27.96,20.6,5.0,-1940.68
2023-03-20,AMD,325,190.63,182.04,5.0,-2796.75
2023-08-25,BABA,10,288.54,296.62,5.0,75.8
2023-08-28,XLI,47,251.37,253.81,5.0,109.68
2023-05-18,QQQ,329,277.16,278.48,5.0,429.28
2023-05-04,XLF,459,274.96,281.51,5.0,3001.45
2023-11-08,AMD,340,333.8,328.33,5.0,-1864.8
2023-03-09,GOOGL,14,119.11,110.28,5.0,-128.62
2023-05-27,XLI,228,442.85,437.78,5.0,-1160.96
2023-09-14,DIA,92,477.75,471.56,5.0,-574.48
2023-06-28,FB,424,250.03,255.42,5.0,2280.36
2023-03-30,AMD,271,33.89,42.55,5.0,2341.86
2023-12-07,TSM,260,361.39,365.06,5.0,949.2
2023-06-22,AMD,312,197.43,200.93,5.0,1087.0
2023-10-30,XLE,245,194.58,194.68,5.0,19.5
2023-07-24,INTC,285,234.75,235.58,5.0,231.55
2023-05-09,XLE,374,485.58,490.85,5.0,1965.98
2023-12-15,AAPL,179,422.76,422.15,5.0,-114.19
2023-08-22,MSFT,317,122.37,119.26,5.0,-990.87
2023-12-26,FB,70,172.08,177.14,5.0,349.2
2023-01-28,XLE,379,52.21,46.35,5.0,-2225.94
2023-08-26,SPY,20,363.98,361.13,5.0,-62.0
2023-12-30,AMD,172,23.16,30.6,5.0,1274.68
2023-10-26,NVDA,245,71.91,76.63,5.0,1151.4
2023-01-22,TSM,302,63.53,66.18,5.0,795.3
2023-09-09,XLV,434,286.36,277.8,5.0,-3720.04
2023-02-13,MSFT,167,92.32,97.82,5.0,913.5
2023-01-11,DIA,490,471.77,477.46,5.0,2783.1
2023-11-24,XLI,223,66.23,62.21,5.0,-901.46
2023-04-04,XLI,125,347.56,356.02,5.0,1052.5
2023-06-17,DIA,400,113.31,120.19,5.0,2747.0
2023-04-18,XLU,30,94.51,98.7,5.0,120.7
2023-08-31,XLV,214,292.4,288.92,5.0,-749.72
2023-09-23,MSFT,371,225.27,222.3,5.0,-1106.87
2023-08-06,IWM,334,121.73,120.21,5.0,-512.68
2023-01-10,AMZN,426,389.44,388.89,5.0,-239.3
2023-08-14,XLI,167,311.06,308.65,5.0,-407.47
2023-03-01,XLF,471,405.62,411.0,5.0,2528.98
2023-07-27,XLI,364,243.02,244.29,5.0,457.28
2023-07-08,MSFT,88,306.91,311.59,5.0,406.84
2023-07-22,SPY,405,397.07,399.96,5.0,1165.45
2023-11-16,FB,417,23.67,19.14,5.0,-1894.01
2023-12-19,XLI,19,114.4,121.61,5.0,131.99
2023-05-12,XLV,251,491.95,490.11,5.0,-466.84
2023-01-24,FB,285,195.37,188.52,5.0,-1957.25
2023-10-05,XLI,228,462.33,465.03,5.0,610.6
2023-09-30,NVDA,339,198.7,190.71,5.0,-2713.61
2023-01-30,QQQ,178,143.6,135.68,5.0,-1414.76
2023-06-23,IWM,264,411.01,413.62,5.0,684.04
2023-02-18,XLI,369,474.53,466.34,5.0,-3027.11
2023-03-01,GOOGL,73,62.08,69.31,5.0,522.79
2023-06-05,NVDA,211,418.2,425.56,5.0,1547.96
2023-01-22,NVDA,421,368.11,375.3,5.0,3021.99
2023-05-25,FB,419,232.89,228.72,5.0,-1752.23
2023-05-15,SPY,120,153.29,152.81,5.0,-62.6
2023-12-06,QQQ,339,21.08,19.02,5.0,-703.34
2023-10-18,XLF,254,376.64,367.5,5.0,-2326.56
2023-10-17,NVDA,123,247.92,240.84,5.0,-875.84
2023-08-29,XLF,439,124.63,129.19,5.0,1996.84
2023-09-04,IWM,302,149.01,140.39,5.0,-2608.24
2023-05-20,MSFT,370,289.62,292.02,5.0,883.0
2023-08-20,FB,55,344.6,353.46,5.0,482.3
2023-12-17,AMZN,205,204.07,213.83,5.0,1995.8
2023-04-14,TSLA,312,335.64,343.22,5.0,2359.96
2023-04-22,XLI,90,139.33,131.89,5.0,-674.6
2023-05-23,XLV,497,269.7,266.73,5.0,-1481.09
2023-09-06,IWM,183,299.55,304.09,5.0,825.82
2023-11-23,FB,478,111.9,103.45,5.0,-4044.1
2023-01-13,BABA,31,350.81,349.52,5.0,-44.99
2023-07-27,XLV,131,487.15,485.49,5.0,-222.46
2023-06-30,XLI,314,452.95,445.33,5.0,-2397.68
2023-12-09,TSLA,387,12.75,6.92,5.0,-2261.21
2023-11-22,TSM,282,276.06,278.54,5.0,694.36
2023-03-03,XLU,440,420.83,415.35,5.0,-2416.2
2023-03-13,BABA,375,153.72,143.92,5.0,-3680.0
2023-02-10,BABA,217,102.43,108.94,5.0,1407.67
2023-07-24,XLE,381,303.37,302.1,5.0,-488.87
2023-12-29,XLI,114,423.01,431.77,5.0,993.64
2023-12-22,DIA,44,175.16,184.28,5.0,396.28
2023-02-17,NVDA,323,466.79,471.18,5.0,1412.97
2023-02-24,XLU,37,304.4,294.49,5.0,-371.67
2023-10-21,AMZN,308,116.36,116.57,5.0,59.68
2023-06-24,IWM,395,350.83,352.31,5.0,579.6
2023-07-09,SPY,172,228.91,224.16,5.0,-822.0
2023-08-14,XLE,258,292.37,291.19,5.0,-309.44
2023-02-03,INTC,244,394.3,397.23,5.0,709.92
2023-11-10,QQQ,44,409.99,413.98,5.0,170.56
2023-04-25,AMZN,465,374.54,375.57,5.0,473.95
2023-08-24,XLE,291,184.77,193.8,5.0,2622.73
2023-03-23,XLV,54,13.82,18.74,5.0,260.68
2023-04-21,INTC,452,152.45,160.9,5.0,3814.4
2023-06-18,XLV,15,71.21,62.14,5.0,-141.05
2023-07-26,TSLA,457,315.62,309.7,5.0,-2710.44
2023-03-31,TSM,235,15.65,19.41,5.0,878.6
2023-03-06,QQQ,169,292.17,298.96,5.0,1142.51
2023-04-22,SPY,79,301.6,310.48,5.0,696.52
2023-11-07,INTC,252,405.06,408.6,5.0,887.08
2023-09-28,MSFT,409,51.68,49.53,5.0,-884.35
2023-05-10,TSLA,475,441.85,446.67,5.0,2284.5
2023-04-17,AAPL,344,164.33,155.23,5.0,-3135.4
2023-06-22,QQQ,466,406.65,403.47,5.0,-1486.88
2023-12-01,AMZN,258,148.61,151.91,5.0,846.4
2023-02-10,NVDA,374,50.52,43.38,5.0,-2675.36
2023-12-09,XLV,392,19.14,12.42,5.0,-2639.24
2023-06-08,GOOGL,304,445.3,448.77,5.0,1049.88
2023-04-26,IWM,365,461.79,457.12,5.0,-1709.55
2023-06-08,AMD,15,47.6,53.4,5.0,82.0
2023-09-24,AMD,400,49.08,43.9,5.0,-2077.0
2023-10-12,TSLA,71,135.73,132.87,5.0,-208.06
2023-04-06,NVDA,38,241.11,246.0,5.0,180.82
2023-12-12,QQQ,328,355.31,349.58,5.0,-1884.44
2023-12-17,DIA,484,15.61,12.22,5.0,-1645.76
2023-09-21,XLU,408,407.16,401.67,5.0,-2244.92
2023-04-17,XLI,458,367.51,358.57,5.0,-4099.52
2023-04-07,AMZN,119,115.83,124.57,5.0,1035.06
2023-07-19,AMD,26,217.49,223.61,5.0,154.12
2023-01-10,BABA,472,23.57,15.4,5.0,-3861.24
2023-08-16,XLV,151,209.55,214.81,5.0,789.26
2023-12-26,FB,77,464.63,461.09,5.0,-277.58
2023-01-06,NVDA,238,474.41,482.49,5.0,1918.04
2023-10-06,SPY,380,26.84,18.82,5.0,-3052.6
2023-10-19,XLU,296,494.2,503.2,5.0,2659.0
2023-12-13,BABA,395,173.9,174.8,5.0,350.5
2023-11-25,XLF,445,316.17,311.67,5.0,-2007.5
2023-03-06,AMZN,240,104.09,101.4,5.0,-650.6
2023-03-21,XLE,473,472.44,471.23,5.0,-577.33
2023-01-15,MSFT,118,482.98,481.49,5.0,-180.82
2023-07-16,INTC,235,10.53,16.05,5.0,1292.2
2023-03-25,TSLA,215,248.01,243.16,5.0,-1047.75
2023-02-13,NVDA,380,220.52,218.98,5.0,-590.2
2023-10-10,NVDA,375,405.44,399.16,5.0,-2360.0
2023-12-30,TSLA,98,155.0,162.08,5.0,688.84
2023-07-15,INTC,45,318.01,322.07,5.0,177.7
2023-08-21,TSM,202,150.58,149.99,5.0,-124.18
2023-11-02,FB,225,27.91,35.83,5.0,1777.0
2023-01-22,QQQ,89,160.61,162.63,5.0,174.78
2023-02-16,AMD,464,341.3,342.62,5.0,607.48
2023-10-20,TSM,133,52.9,54.89,5.0,259.67
2023-12-21,XLV,241,445.95,441.93,5.0,-973.82
2023-02-23,IWM,114,292.72,297.8,5.0,574.12
2023-08-16,AAPL,244,405.08,396.17,5.0,-2179.04
2023-07-06,AAPL,381,93.42,87.24,5.0,-2359.58
2023-02-24,GOOGL,133,337.16,328.17,5.0,-1200.67
2023-03-16,TSM,482,78.8,82.42,5.0,1739.84
2023-03-05,NVDA,55,325.8,327.79,5.0,104.45
2023-12-16,SPY,222,101.83,104.55,5.0,598.84
2023-03-03,XLV,130,329.43,329.18,5.0,-37.5
2023-10-05,XLF,87,71.08,80.21,5.0,789.31
2023-11-18,MSFT,254,290.13,284.48,5.0,-1440.1
2023-06-23,NVDA,271,239.73,245.76,5.0,1629.13
2023-07-04,FB,234,220.33,227.27,5.0,1618.96
2023-12-08,AMZN,325,471.94,465.72,5.0,-2026.5
2023-01-23,AMD,481,316.11,325.28,5.0,4405.77
2023-08-12,XLV,115,56.62,47.1,5.0,-1099.8
2023-06-19,TSLA,250,428.15,436.26,5.0,2022.5
2023-03-18,IWM,414,46.06,47.76,5.0,698.8
2023-02-24,XLI,374,310.36,310.66,5.0,107.2
2023-11-15,XLU,355,277.42,285.67,5.0,2923.75
2023-11-28,XLI,453,122.72,122.91,5.0,81.07
2023-09-16,XLF,10,64.84,63.87,5.0,-14.7
2023-10-31,BABA,144,427.01,433.46,5.0,923.8
2023-10-21,AMZN,434,59.49,60.51,5.0,437.68
2023-06-22,AMZN,144,59.86,50.97,5.0,-1285.16
2023-12-03,XLE,424,407.12,398.99,5.0,-3452.12
2023-08-24,XLU,74,361.59,367.75,5.0,450.84
2023-05-27,GOOGL,415,19.77,18.74,5.0,-432.45
2023-08-19,QQQ,297,397.39,391.57,5.0,-1733.54
2023-03-17,TSLA,208,372.81,376.27,5.0,714.68
2023-03-05,DIA,212,498.22,489.21,5.0,-1915.12
2023-04-14,XLF,341,151.22,148.3,5.0,-1000.72
2023-06-03,GOOGL,312,207.08,208.1,5.0,313.24
2023-09-27,TSM,341,167.98,171.35,5.0,1144.17
2023-11-29,DIA,73,477.72,483.98,5.0,451.98
2023-05-25,XLV,383,121.92,114.97,5.0,-2666.85
2023-04-04,AMD,335,214.12,222.67,5.0,2859.25
2023-02-07,AMZN,176,313.67,311.35,5.0,-413.32
2023-11-23,XLV,407,453.02,448.68,5.0,-1771.38
2023-07-07,AAPL,209,349.33,358.41,5.0,1892.72
2023-01-23,XLF,413,105.96,111.15,5.0,2138.47
2023-11-14,FB,410,100.12,106.29,5.0,2524.7
2023-09-19,TSLA,104,109.86,104.32,5.0,-581.16
2023-09-25,AMZN,98,342.18,341.06,5.0,-114.76
2023-10-25,XLI,235,333.02,331.6,5.0,-338.7
2023-06-28,XLI,271,140.28,147.03,5.0,1824.25
2023-05-29,AMD,299,37.64,37.07,5.0,-175.43
2023-07-09,XLV,68,75.36,80.18,5.0,322.76
2023-03-23,AMZN,256,338.93,334.09,5.0,-1244.04
2023-05-01,MSFT,299,331.89,339.6,5.0,2300.29
2023-02-03,MSFT,488,487.8,484.53,5.0,-1600.76
2023-01-16,TSM,477,108.62,115.73,5.0,3386.47
2023-03-31,XLI,12,78.67,70.65,5.0,-101.24
2023-07-24,AMZN,206,190.53,196.55,5.0,1235.12
2023-05-26,QQQ,349,307.06,299.99,5.0,-2472.43
2023-06-08,AMD,116,211.45,218.63,5.0,827.88
2023-12-26,SPY,368,332.18,324.55,5.0,-2812.84
2023-04-25,XLU,167,146.62,156.19,5.0,1593.19
2023-05-30,XLV,132,152.71,157.81,5.0,668.2
2023-02-27,XLU,371,462.25,460.85,5.0,-524.4
2023-06-21,INTC,480,77.61,73.7,5.0,-1881.8
2023-10-28,MSFT,134,37.53,37.14,5.0,-57.26
2023-11-29,TSM,73,403.11,402.36,5.0,-59.75
2023-04-07,AMZN,94,105.04,109.53,5.0,417.06
2023-09-29,IWM,331,138.24,137.77,5.0,-160.57
2023-07-22,NVDA,27,418.48,423.22,5.0,122.98
2023-10-07,DIA,268,492.3,494.6,5.0,611.4
2023-10-12,NVDA,408,244.9,241.0,5.0,-1596.2
2023-06-14,AMD,257,63.78,68.66,5.0,1249.16
2023-11-22,BABA,43,198.68,199.42,5.0,26.82
2023-02-27,XLU,281,109.06,106.71,5.0,-665.35
2023-12-19,DIA,164,26.08,23.0,5.0,-510.12
2023-08-04,XLE,237,420.96,419.97,5.0,-239.63
2023-05-04,TSM,226,122.34,117.99,5.0,-988.1
2023-07-09,BABA,367,495.83,495.41,5.0,-159.14
2023-08-02,BABA,121,465.05,466.68,5.0,192.23
2023-07-06,TSM,56,442.83,442.16,5.0,-42.52
2023-02-14,GOOGL,397,468.26,460.03,5.0,-3272.31
2023-11-09,GOOGL,446,56.45,65.15,5.0,3875.2
2023-06-18,IWM,72,290.38,280.4,5.0,-723.56
2023-11-20,XLU,134,312.85,320.9,5.0,1073.7
2023-12-07,AMZN,131,280.99,281.63,5.0,78.84
2023-06-26,XLI,341,495.13,487.17,5.0,-2719.36
2023-05-22,INTC,73,255.54,263.96,5.0,609.66
2023-04-23,BABA,300,268.33,258.66,5.0,-2906.0
2023-07-19,XLU,382,420.52,426.01,5.0,2092.18
2023-02-14,INTC,195,441.95,446.73,5.0,927.1
2023-04-27,AAPL,480,412.23,415.92,5.0,1766.2
2023-01-13,GOOGL,350,96.89,89.24,5.0,-2682.5
2023-10-04,AMZN,318,464.86,467.14,5.0,720.04
2023-07-31,XLU,429,246.06,254.38,5.0,3564.28
2023-06-07,QQQ,494,167.12,173.25,5.0,3023.22
2023-05-28,TSLA,294,453.66,449.02,5.0,-1369.16
2023-09-10,NVDA,61,139.62,132.03,5.0,-467.99
2023-08-29,QQQ,263,456.33,463.96,5.0,2001.69
2023-12-25,XLI,400,118.28,113.4,5.0,-1957.0
2023-11-02,AMZN,242,311.39,303.1,5.0,-2011.18
2023-07-10,XLU,250,461.16,456.94,5.0,-1060.0
2023-08-26,QQQ,145,271.24,261.56,5.0,-1408.6
2023-08-30,XLU,330,130.02,120.07,5.0,-3288.5
2023-01-01,AMD,142,328.44,338.31,5.0,1396.54
2023-04-05,INTC,404,59.67,68.28,5.0,3473.44
2023-12-24,XLV,183,387.53,384.99,5.0,-469.82
2023-07-26,SPY,434,244.19,246.51,5.0,1001.88
2023-11-19,INTC,316,197.14,198.43,5.0,402.64
2023-10-23,SPY,389,45.9,47.93,5.0,784.67
2023-04-14,FB,370,162.23,155.5,5.0,-2495.1
2023-05-13,XLU,454,333.12,340.61,5.0,3395.46
2023-01-13,AMZN,387,11.7,21.19,5.0,3667.63
2023-02-11,MSFT,217,125.08,117.35,5.0,-1682.41
2023-09-21,QQQ,384,88.44,96.66,5.0,3151.48
2023-07-21,XLV,225,419.52,409.93,5.0,-2162.75
2023-01-01,INTC,241,422.95,423.08,5.0,26.33
2023-11-23,NVDA,253,388.07,394.17,5.0,1538.3
